DTM	RACMO_EH5_P
2001-11-15	40.4463991314314
2001-12-15	37.9678378457367
2002-01-15	46.827119554512
2002-02-15	37.5227736517426
2002-03-15	16.1044114411096
2002-04-15	32.7397875420668
2002-05-15	21.6141424084644
2002-06-15	35.918155044807
2002-07-15	52.2038131316008
2002-08-15	48.4968434603299
2002-09-15	35.0355401862691
2002-10-15	69.8655109602385
2002-11-15	21.7091720715295
2002-12-15	23.0377303609897
2003-01-15	20.6762839617653
2003-02-15	4.59776019399161
2003-03-15	7.45815079887331
2003-04-15	33.2993530245177
2003-05-15	38.0306598371527
2003-06-15	64.0061720642534
2003-07-15	44.6419564457769
2003-08-15	171.457565197719
2003-09-15	43.0666486676597
2003-10-15	46.1426013572567
2003-11-15	23.4006662935605
2003-12-15	28.3665911920606
2004-01-15	42.8168551256342
2004-02-15	65.6760730367781
2004-03-15	74.7030559562259
2004-04-15	34.817234263436
2004-05-15	57.5552438543793
2004-06-15	75.1514127159395
2004-07-15	33.8823021928713
2004-08-15	94.5450655196778
2004-09-15	41.2503962002893
2004-10-15	20.4552271791834
2004-11-15	26.4299267417657
2004-12-15	59.2821157347345
2005-01-15	11.1517117444833
2005-02-15	13.9745983454264
2005-03-15	33.7287530285883
2005-04-15	24.5877335968209
2005-05-15	156.480316349251
2005-06-15	40.3618905938951
2005-07-15	100.59619988172
2005-08-15	45.9116140456045
2005-09-15	15.0043605485391
2005-10-15	50.0656781635118
2005-11-15	14.6091204406615
2005-12-15	24.657218124114
2006-01-15	58.0429452731279
2006-02-15	35.3324412987156
2006-03-15	28.7509511658397
2006-04-15	132.853126283045
2006-05-15	56.8897851928464
2006-06-15	54.2111052070991
2006-07-15	73.7595189382143
2006-08-15	31.8327008626161
2006-09-15	20.7403250394942
2006-10-15	36.724921687617
2006-11-15	22.95132244511
2006-12-15	29.6994440417492
2007-01-15	44.6690570871846
2007-02-15	76.8007835549941
2007-03-15	43.7993394496405
2007-04-15	15.6423764956617
2007-05-15	24.366147344608
2007-06-15	89.908814252305
2007-07-15	101.699885333744
2007-08-15	59.3934849980134
2007-09-15	34.6743752630611
2007-10-15	39.3637492043325
2007-11-15	50.6313973041825
2007-12-15	21.678062888511
2008-01-15	20.4039495969173
2008-02-15	26.5532623706507
2008-03-15	9.09694693851844
2008-04-15	4.32846572264742
2008-05-15	51.3638997138708
2008-06-15	19.7214851780334
2008-07-15	39.9514702968246
2008-08-15	46.4111827091757
2008-09-15	102.192402355933
2008-10-15	43.5842756044262
2008-11-15	38.2763328145838
2008-12-15	14.2724957463153
2009-01-15	43.1219634387113
2009-02-15	34.0721502291573
2009-03-15	18.3110499753263
2009-04-15	19.0614884078984
2009-05-15	93.8707045677481
2009-06-15	80.4250298818452
2009-07-15	108.375245653256
2009-08-15	163.127421462637
2009-09-15	55.6628793531496
2009-10-15	15.0692676747488
2009-11-15	72.369734549896
2009-12-15	18.7136733289235
2010-01-15	39.7914161925685
2010-02-15	11.9318860433666
2010-03-15	11.7737673415005
2010-04-15	25.5617256744704
2010-05-15	125.355938405459
2010-06-15	48.8218468376802
2010-07-15	186.561023376531
2010-08-15	49.2315889723621
2010-09-15	23.6731016822666
2010-10-15	48.4125077318485
2010-11-15	49.4629011852043
2010-12-15	23.2040545284763
2011-01-15	49.536719410553
2011-02-15	57.5951504732327
2011-03-15	0.561776211569281
2011-04-15	15.1554890515613
2011-05-15	62.3627452726489
2011-06-15	39.1942468039197
2011-07-15	18.4006846624736
2011-08-15	17.6834018536643
2011-09-15	62.2571785327695
2011-10-15	49.3649503118529
2011-11-15	40.637033965878
2011-12-15	33.6699740045039
2012-01-15	26.3873362342308
2012-02-15	19.5420719151469
2012-03-15	12.1282322005777
2012-04-15	38.9216278914265
2012-05-15	151.088762776925
2012-06-15	73.1310427845852
2012-07-15	47.7391865036558
2012-08-15	89.8289509721297
2012-09-15	62.9765330205042
2012-10-15	43.5699753737518
2012-11-15	29.4674633087977
2012-12-15	27.7761945941702
2013-01-15	34.34101321632
2013-02-15	38.2383575440502
2013-03-15	13.0930077982748
2013-04-15	53.590048420881
2013-05-15	21.5676850862378
2013-06-15	29.1567967381252
2013-07-15	56.3388873496184
2013-08-15	97.0390994595864
2013-09-15	76.6834593369133
2013-10-15	5.76851937861192
2013-11-15	52.2055854215189
2013-12-15	33.2107484278732
2014-01-15	16.5328408158536
2014-02-15	41.6639619570521
2014-03-15	10.8677624990789
2014-04-15	58.8618669706087
2014-05-15	65.6527322040764
2014-06-15	73.6087172126634
2014-07-15	49.9822685909055
2014-08-15	29.5158240206674
2014-09-15	14.2757939428717
2014-10-15	53.5366336292753
2014-11-15	24.2181106839136
2014-12-15	40.6613978076286
2015-01-15	55.0769421633976
2015-02-15	14.5787680134567
2015-03-15	29.7343935104737
2015-04-15	51.1436815089253
2015-05-15	27.2861849471966
2015-06-15	55.8124563722277
2015-07-15	65.6527166311602
2015-08-15	81.6375609535098
2015-09-15	19.756142148217
2015-10-15	21.6765617009041
2015-11-15	27.4693377459326
2015-12-15	44.4640874044367
2016-01-15	28.0221200952521
2016-02-15	42.059922287796
2016-03-15	73.8155846108762
2016-04-15	4.57082658252212
2016-05-15	38.3294522180902
2016-06-15	76.2212754961247
2016-07-15	197.574635235983
2016-08-15	38.8576787858445
2016-09-15	21.6743427255345
2016-10-15	54.6642062713992
2016-11-15	27.3825599371175
2016-12-15	33.0854374764392
2017-01-15	22.7779427281053
2017-02-15	18.2728020040129
2017-03-15	83.5828105845227
2017-04-15	47.1985758606086
2017-05-15	30.8284674060797
2017-06-15	111.109406954363
2017-07-15	49.9896764177686
2017-08-15	45.6962917380957
2017-09-15	33.2963866838848
2017-10-15	30.2985056944807
2017-11-15	78.7832066267435
2017-12-15	13.9978287632916
2018-01-15	4.34873419393052
2018-02-15	11.0219043439187
2018-03-15	33.7694687828351
2018-04-15	7.83757944116665
2018-05-15	48.3182661912685
2018-06-15	23.9773032662169
2018-07-15	66.2601063168186
2018-08-15	40.948539060026
2018-09-15	47.511032167156
2018-10-15	38.0301785671665
2018-11-15	60.8122391400842
2018-12-15	43.1074989196626
2019-01-15	47.6613833761236
2019-02-15	24.0332599639822
2019-03-15	12.5069833146771
